Date,Open,High,Low,Close,ChannelLow,ChannelHigh,PivotType,PivotValue
2024-01-29 03:00:00,160.61,162.05,160.61,162.05,-88.61076418997936,-102.00878278544997,Undefined,0
2024-01-29 03:30:00,161.94,162.27,161.77,161.77,-71.06906585598244,-87.99502261025373,Undefined,0
2024-01-29 04:00:00,161.7,162.37,161.53,162.09,-53.527367521985525,-73.98126243505794,Undefined,0
2024-01-29 04:30:00,162.12,162.15,161.59,161.97,-35.98566918798906,-59.9675022598617,Undefined,0
2024-01-29 05:00:00,161.91,161.93,161.26,161.26,-18.44397085399214,-45.95374208466592,Undefined,0
2024-01-29 05:30:00,161.19,162.75,161.11,162.75,-0.902272519995222,-31.93998190946968,Undefined,0
2024-01-29 06:00:00,162.75,163.22,162.75,163.01,16.639425814001697,-17.926221734273895,Undefined,0
2024-01-29 06:30:00,163.07,163.08,162.42,162.62,34.18112414799862,-3.9124615590776557,Undefined,0
2024-01-29 07:00:00,162.64,163.73,162.19,162.69,51.722822481995536,10.101298616118129,Undefined,0
2024-01-29 07:30:00,162.6,162.69,162.21,162.5,69.26452081599246,24.115058791314368,Undefined,0
2024-01-29 08:00:00,162.57,163.18,162.3,163.17,86.80621914998892,38.12881896651015,Undefined,0
2024-01-29 08:30:00,163.23,164.61,163.12,164.35,104.34791748398584,52.14257914170639,Undefined,0
2024-01-29 09:00:00,164.41,165.05,164.17,164.83,121.88961581798276,66.15633931690218,Undefined,0
2024-01-29 09:30:00,164.81,165.49,163.56,163.81,139.43131415197968,80.17009949209842,High,165.491
2024-01-29 10:00:00,163.7,164.03,163.58,163.84,156.9730124859766,94.1838596672942,Undefined,0
2024-01-29 10:30:00,164.11,164.31,163.79,164.13,174.51471081997352,108.19761984249044,Undefined,0
2024-01-29 11:00:00,164.43,164.48,163.5,163.5,192.05640915397043,122.21138001768622,Undefined,0
2024-01-29 11:30:00,163.71,163.99,163.71,163.96,209.5981074879669,136.22514019288246,Undefined,0
2024-01-29 12:00:00,163.9,163.9,163.26,163.36,227.13980582196382,150.23890036807825,Undefined,0
2024-01-29 12:30:00,163.39,163.9,163.0,163.89,244.68150415596074,164.2526605432745,Low,162.999
2024-01-29 13:00:00,163.87,164.07,163.83,163.83,262.22320248995766,178.26642071847027,Undefined,0
2024-01-29 13:30:00,163.58,164.93,163.54,164.38,279.7649008239546,192.2801808936665,Undefined,0
2024-01-29 14:00:00,164.34,164.96,163.75,163.75,297.3065991579515,206.29394106886275,Undefined,0
2024-01-29 14:30:00,163.7,168.25,163.65,166.47,314.84829749194796,220.30770124405853,High,168.251
2024-01-29 15:00:00,166.59,167.61,166.14,167.35,332.3899958259449,234.32146141925477,Undefined,0
2024-01-29 15:30:00,167.25,167.44,166.19,166.33,349.9316941599418,248.33522159445056,Undefined,0
2024-01-29 16:00:00,166.92,167.97,166.15,167.45,367.4733924939387,262.3489817696468,Undefined,0
